"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Garney, Ron [person]","015762888","Monograph","Language material ; Text","Volume","GBB128289","9781846534898","Ultimate Captain America","Ultimate comics Captain America","","","England","Tunbridge Wells","Panini","2011","","92 pages, chiefly colour illustrations, 26 cm","741.5973","YK.2012.b.6681","Captain America, (Fictitious character)--Comic books, strips, etc--Fiction ; Superhero comic books, strips, etc","Comic or graphic novel ; Fiction","English","'Contains material originally published in magazine formas 'Ultimate comics Captain America' #1-4.'--T.p. verso"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Garney, Ron [person]","015767229","Monograph","Language material ; Text","Volume","GBB131124","9780785151944","Ultimate comics Captain America","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2011","","1 volume, chiefly illustrations","741.5","","Captain America, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Garney, Ron [person]","015874540","Monograph","Language material ; Text","Volume","GBB199454","9780785151951","Ultimate comics Captain America","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2011","","1 volume, chiefly illustrations, 23 cm","741.5","","Captain America, (Fictitious character)--Comic books, strips, etc--Fiction ; Superheroes--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Gillen, Kieron [person] ; Pacheco, Carlos, 1961- [person]","016057657","Monograph","Language material ; Text","Volume","GBB231263","9780785156888","Schism","","X-men","","England ; United States of America","London ; New York","Marvel ; Turnaround","2012","","1 volume, chiefly colour illustrations, 26 cm","741.5973","","Superhero comic books, strips, etc ; X-Men (Fictitious characters)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Gillen, Kieron [person] ; Tan, Billy [person] ; Pacheco, Carlos, 1961- [person] ; Seeley, Tim [person]","015885323","Monograph","Language material ; Text","Volume","GBB1A6157","9781846535024","X-Men. Schism","Schism","","","England","Tunbridge Wells","Panini","2012","","approximately 120 pages, chiefly colour illustrations, 26 cm","741.5973","YK.2012.b.1571","Superhero comic books, strips, etc ; X-Men (Fictitious characters)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English","'Collecting X-Men Schism #1-5, Generation Hope #10-11 and X-Men Regenesis'--Back cover"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Girner, Sebastian [person] ; Dillon, Steve [person] ; Alonso, Axel [person]","015494474","Monograph","Language material ; Text","Volume","GBB030816","9780785140719 ; 9780785145967","Punisher Max. Kingpin","Kingpin ; PunisherMax","","","United States of America","New York","Marvel Worldwide","2010","","1 volume (unpaged), chiefly colour illustrations, 27 cm","741.5973","YK.2010.b.9178","Organized crime--Comic books, strips, etc ; Punisher (Fictitious character)--Comic books, strips, etc","Comic or graphic novel ; Novel ; Science fiction","English","'Contains material originally published in magazine form as Punishermax #1-5.'"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Guedes, Renato [person]","015695818","Monograph","Language material ; Text","Volume","GBB0D6282","9780785147848","Wolverine goes to hell","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2011","","1 volume, chiefly illustrations","741.5","","Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Guggenheim, Marc [person] ; Chaykin, Howard V. [person]","014479942","Monograph","Language material ; Text","Volume","GBA801958","9780785126119 ; 9780785126126","Wolverine. The death of Wolverine","Death of Wolverine","","","United States of America","New York","Marvel Publishing","2008","","approximately 160 pages, chiefly colour illustrations, 27 cm","741.5973","YK.2009.b.1481","Science fiction comic books, strips, etc ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English","'Contains material originally published in magazine form as Wolverine #56-61'--Indicia"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Guéra, R. M. [person]","014500660","Monograph","Language material ; Text","Volume","GBA809287","9781845768409","Casino boogie","Scalped. Casino boogie","Scalped","volume 2 [Scalped]","England ; United States of America","London ; New York","DC Comics ; Titan","2008","","approximately 140 pages, chiefly colour illustrations, 26 cm","741.5973","YK.2009.b.1477","Casinos--Comic books, strips, etc--Fiction ; Undercover operations--Comic books, strips, etc--Fiction ; United States--Federal Bureau of Investigation--Officials and employees--Comic books, strips, etc--Fiction ; Indians of North America--Great Plains--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Novel","English","'Originally published in single magazine form as Scalped 6-11'--Indicia"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Guéra, R. M. [person]","015357766","Monograph","Language material ; Text","Volume","GBA984999","9781401224875 ; 9781848564701","Scalped. High lonesome","High lonesome","","","England ; United States of America","London ; New York","DC Comics ; Titan","2009","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5973","YK.2010.b.5349","Organized crime--Comic books, strips, etc ; Indian reservations--Comic books, strips, etc ; Casinos--Comic books, strips, etc ; United States--Federal Bureau of Investigation--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Novel","English","'5'--Spine ; 'Originally published in single magazine form as Scalped 25-29.'--T.p. verso ; 'Scalped created by Jason Aaron and R.M. Guéra.'"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Huat, Tan Eng [person] ; Boschi, Roland [person]","015265955","Monograph","Language material ; Text","Volume","GBA951957","9780785131755","Ghost rider. The last stand","Last stand","","","United States of America","New York","Marvel","2009","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5973","","Horror comic books, strips, etc ; Ghost Rider (Fictitious character)--Comic books, strips, etc","Comic or graphic novel","English","'Contains material originally published in magazine form as Ghost Rider #26-32'--P. 2 of cover"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Jock, 1972- [person] ; Guéra, R. M. [person]","016103530","Monograph","Language material ; Text","Volume","GBB257677","9781781164891","Trail's end","","Scalped","volume 10 [Scalped]","England","London","Titan","2012","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Undercover operations--Comic books, strips, etc--Fiction ; Dashiell Bad Horse (Fictitious character)--Comic books, strips, etc--Fiction ; Indians of North America--Great Plains--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Novel","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Kordey, Igor [person] ; Guéra, R. M. [person]","016063363","Monograph","Language material ; Text","Volume","GBB234039","9781401235055 ; 9781781163856","Scalped. Knuckle up","Knuckle up","","","United States of America","New York","DC Comics","2012","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5973","YK.2012.b.10887","","Comic or graphic novel","English","'9'--Spine ; 'Originally published in single magazine form in SCALPED 50-55'--T.p. verso ; 'Vertigo'--Cover"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Kubert, Adam [person]","015669469","Monograph","Language material ; Text","Volume","GBB0C2776","9781846534768","Astonishing Spider-Man & Wolverine","","","","England","Tunbridge Wells","Panini","2011","","approximately 130 pages, chiefly illustrations (chiefly colour), 26 cm","741.5973","YK.2011.b.15988","Wolverine (Fictitious character)--Comic books, strips, etc--Fiction ; Spider-Man, (Fictitious character)--Comic books, strips etc--Fiction","Comic or graphic novel ; Fiction","English","'Collecting Astonishing Spider-Man & Wolverine #1-6'--Back cover"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Kubert, Adam [person]","015955657","Monograph","Language material ; Text","Volume","GBB1C3937","9780785140801","Astonishing Spider-Man and Wolverine","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2012","","1 volume, chiefly colour illustrations, 23 cm","741.5","","Wolverine (Fictitious character)--Comic books, strips, etc--Fiction ; Spider-Man, (Fictitious character)--Comic books, strips etc--Fiction","Comic or graphic novel ; Fantasy ; Fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Kubert, Adam [person]","016057666","Monograph","Language material ; Text","Volume","GBB231272","9780785161431","Wolverine. Back in Japan","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2012","","1 volume, 26 cm","741.5973","","Science fiction comic books, strips, etc ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Leon, John Paul [person] ; Guéra, R. M. [person]","014702768","Monograph","Language material ; Text","Volume","GBA8A3628","9781845769970","Dead mothers","","Scalped","","England","London","Titan","2008","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Mothers--Crimes against--Comic books, strips, etc--Fiction ; Murder--Investigation--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Novel","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Loughridge, Lee [person] ; Balsman, Phil [person] ; Guéra, R. M. [person]","013818528","Monograph","Language material ; Text","Volume","GBA764508","9781845766764","Indian country","","Scalped","1 [Scalped]","England","London","Titan","2007","","124 pages, chiefly colour illustrations, 26 cm","741.5","YK.2008.b.5265","Indian reservations--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Novel","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Lucas, Jorge [person]","015109583","Monograph","Language material ; Text","Volume","GBA936831","9781607060543","Ripclaw","","","","England ; United States of America","Berkeley, California ; London","Diamond ; Top Cow","2009","","1 volume, chiefly colour illustrations","741.5973","","Young adult fiction, American ; Fantasy comic books, strips, etc","","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Moore, Tony, 1978- [person]","015170422","Monograph","Language material ; Text","Volume","GBA942376","9780785139119","Ghost Rider : trials and tribulations","","","","England ; United States of America","London ; New York","Diamond ; Marvel","2009","","1 volume, chiefly colour illustrations, 26 cm","741.5973","","Young adult fiction, American ; Horror comic books, strips, etc","","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Palo, Jefte [person] ; Loughridge, Lee [person] ; Petit, Cory [person]","014845524","Monograph","Language material ; Text","Volume","GBA8D7120","9780785133971","Secret invasion","","Black Panther","","England ; United States of America","London ; New York","Diamond ; Marvel","2009","","1 volume, chiefly colour illustrations, 26 cm","741.5973","YK.2010.b.5964","Young adult fiction, American ; Black Panther (Fictitious character)--Comic books, strips, etc--Fiction ; Science fiction comic books, strips, etc","Comic or graphic novel ; Fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Paolo, Jefte [person] ; Acuña, Daniel, 1974- [person]","015955660","Monograph","Language material ; Text","Volume","GBB1C3940","9780785147879","Wolverine vs. the X-Men","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2012","","1 volume, chiefly illustrations, 23 cm","741.5973","","Science fiction comic books, strips, etc ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English",""
